date,contract,group,long,short,net
2024-10-01,BTC,asset_mgr,9163,359,8804
2024-10-01,BTC,dealer,1061,4200,-3139
2024-10-01,BTC,lev_funds,2690,20031,-17341
2024-10-01,BTC,nonrept,1150,919,231
2024-10-01,BTC,other_rept,12237,792,11445
2024-10-01,ETH,asset_mgr,1423,168,1255
2024-10-01,ETH,dealer,260,1027,-767
2024-10-01,ETH,lev_funds,1023,2873,-1850
2024-10-01,ETH,nonrept,686,528,158
2024-10-01,ETH,other_rept,2364,1160,1204
2024-10-08,BTC,asset_mgr,9632,359,9273
2024-10-08,BTC,dealer,1202,4234,-3032
2024-10-08,BTC,lev_funds,1980,20828,-18848
2024-10-08,BTC,nonrept,1250,840,410
2024-10-08,BTC,other_rept,13007,810,12197
2024-10-08,ETH,asset_mgr,1390,162,1228
2024-10-08,ETH,dealer,287,930,-643
2024-10-08,ETH,lev_funds,730,2887,-2157
2024-10-08,ETH,nonrept,652,517,135
2024-10-08,ETH,other_rept,2810,1373,1437
2024-10-15,BTC,asset_mgr,10112,540,9572
2024-10-15,BTC,dealer,11766,4400,7366
2024-10-15,BTC,lev_funds,2795,23179,-20384
2024-10-15,BTC,nonrept,1405,999,406
2024-10-15,BTC,other_rept,3786,746,3040
2024-10-15,ETH,asset_mgr,1476,271,1205
2024-10-15,ETH,dealer,2271,1025,1246
2024-10-15,ETH,lev_funds,820,3631,-2811
2024-10-15,ETH,nonrept,761,377,384
2024-10-15,ETH,other_rept,717,741,-24
2024-10-22,BTC,asset_mgr,9535,528,9007
2024-10-22,BTC,dealer,11972,4402,7570
2024-10-22,BTC,lev_funds,3054,23303,-20249
2024-10-22,BTC,nonrept,1518,987,531
2024-10-22,BTC,other_rept,3933,792,3141
2024-10-22,ETH,asset_mgr,1534,407,1127
2024-10-22,ETH,dealer,2280,1031,1249
2024-10-22,ETH,lev_funds,893,3375,-2482
2024-10-22,ETH,nonrept,775,427,348
2024-10-22,ETH,other_rept,651,893,-242
2024-10-29,BTC,asset_mgr,10072,546,9526
2024-10-29,BTC,dealer,12506,4409,8097
2024-10-29,BTC,lev_funds,3745,24660,-20915
2024-10-29,BTC,nonrept,1441,814,627
2024-10-29,BTC,other_rept,3487,822,2665
2024-10-29,ETH,asset_mgr,1557,283,1274
2024-10-29,ETH,dealer,2523,1016,1507
2024-10-29,ETH,lev_funds,1324,3921,-2597
2024-10-29,ETH,nonrept,719,389,330
2024-10-29,ETH,other_rept,623,1137,-514
2024-11-05,BTC,asset_mgr,9865,598,9267
2024-11-05,BTC,dealer,12401,4350,8051
2024-11-05,BTC,lev_funds,3484,22738,-19254
2024-11-05,BTC,nonrept,1443,913,530
2024-11-05,BTC,other_rept,2214,808,1406
2024-11-05,ETH,asset_mgr,1545,490,1055
2024-11-05,ETH,dealer,2434,972,1462
2024-11-05,ETH,lev_funds,1482,3429,-1947
2024-11-05,ETH,nonrept,652,507,145
2024-11-05,ETH,other_rept,454,1169,-715
2024-11-12,BTC,asset_mgr,11083,947,10136
2024-11-12,BTC,dealer,14935,4966,9969
2024-11-12,BTC,lev_funds,4830,25189,-20359
2024-11-12,BTC,nonrept,1604,957,647
2024-11-12,BTC,other_rept,1579,1972,-393
2024-11-12,ETH,asset_mgr,2556,91,2465
2024-11-12,ETH,dealer,4506,1266,3240
2024-11-12,ETH,lev_funds,1656,5274,-3618
2024-11-12,ETH,nonrept,926,381,545
2024-11-12,ETH,other_rept,521,3153,-2632
2024-11-19,BTC,asset_mgr,11393,947,10446
2024-11-19,BTC,dealer,14936,5097,9839
2024-11-19,BTC,lev_funds,4914,25022,-20108
2024-11-19,BTC,nonrept,1833,1043,790
2024-11-19,BTC,other_rept,1628,2595,-967
2024-11-19,ETH,asset_mgr,2645,192,2453
2024-11-19,ETH,dealer,4926,1249,3677
2024-11-19,ETH,lev_funds,1687,4784,-3097
2024-11-19,ETH,nonrept,925,396,529
2024-11-19,ETH,other_rept,434,3996,-3562
2024-11-26,BTC,asset_mgr,11119,960,10159
2024-11-26,BTC,dealer,13795,5204,8591
2024-11-26,BTC,lev_funds,5300,24505,-19205
2024-11-26,BTC,nonrept,1667,977,690
2024-11-26,BTC,other_rept,1282,1517,-235
2024-11-26,ETH,asset_mgr,2932,143,2789
2024-11-26,ETH,dealer,7052,1590,5462
2024-11-26,ETH,lev_funds,1358,5905,-4547
2024-11-26,ETH,nonrept,915,401,514
2024-11-26,ETH,other_rept,328,4546,-4218
2024-12-03,BTC,asset_mgr,11038,922,10116
2024-12-03,BTC,dealer,14397,4705,9692
2024-12-03,BTC,lev_funds,4094,25749,-21655
2024-12-03,BTC,nonrept,1600,1045,555
2024-12-03,BTC,other_rept,2584,1292,1292
2024-12-03,ETH,asset_mgr,3005,160,2845
2024-12-03,ETH,dealer,8621,2535,6086
2024-12-03,ETH,lev_funds,1616,6903,-5287
2024-12-03,ETH,nonrept,981,355,626
2024-12-03,ETH,other_rept,263,4533,-4270
2024-12-10,BTC,asset_mgr,10889,828,10061
2024-12-10,BTC,dealer,14698,4747,9951
2024-12-10,BTC,lev_funds,4657,25643,-20986
2024-12-10,BTC,nonrept,1627,1143,484
