month,country,net_flow_musd,table
2023-02,All Countries,133791,slt1_for_lt_total_net
2023-02,All Countries,1307,slt2_us_lt_total_net
2023-02,Anguilla,2364,slt1_for_lt_total_net
2023-02,Argentina,202,slt1_for_lt_total_net
2023-02,Argentina,-55,slt2_us_lt_total_net
2023-02,Aruba,1,slt1_for_lt_total_net
2023-02,Aruba,3,slt2_us_lt_total_net
2023-02,Australia,-1542,slt1_for_lt_total_net
2023-02,Australia,-1665,slt2_us_lt_total_net
2023-02,Austria,-148,slt1_for_lt_total_net
2023-02,Austria,320,slt2_us_lt_total_net
2023-02,Bahamas,203,slt1_for_lt_total_net
2023-02,Bahamas,-44,slt2_us_lt_total_net
2023-02,Barbados,110,slt1_for_lt_total_net
2023-02,Barbados,-31,slt2_us_lt_total_net
2023-02,Belgium,2582,slt1_for_lt_total_net
2023-02,Belgium,-78,slt2_us_lt_total_net
2023-02,Bermuda,-1718,slt1_for_lt_total_net
2023-02,Bermuda,80,slt2_us_lt_total_net
2023-02,Brazil,3395,slt1_for_lt_total_net
2023-02,Brazil,1343,slt2_us_lt_total_net
2023-02,British Virgin Islands,5834,slt1_for_lt_total_net
2023-02,British Virgin Islands,187,slt2_us_lt_total_net
2023-02,Bulgaria,26,slt1_for_lt_total_net
2023-02,Bulgaria,-15,slt2_us_lt_total_net
2023-02,Canada,4893,slt1_for_lt_total_net
2023-02,Canada,3055,slt2_us_lt_total_net
2023-02,Cayman Islands,8775,slt1_for_lt_total_net
2023-02,Cayman Islands,6353,slt2_us_lt_total_net
2023-02,Chile,1145,slt1_for_lt_total_net
2023-02,Chile,-471,slt2_us_lt_total_net
2023-02,"China, Mainland",4021,slt1_for_lt_total_net
2023-02,"China, Mainland",1624,slt2_us_lt_total_net
2023-02,Colombia,-537,slt1_for_lt_total_net
2023-02,Colombia,152,slt2_us_lt_total_net
2023-02,Costa Rica,74,slt1_for_lt_total_net
2023-02,Costa Rica,-33,slt2_us_lt_total_net
2023-02,Cuba,1,slt1_for_lt_total_net
2023-02,Cuba,0,slt2_us_lt_total_net
2023-02,Curacao,63,slt1_for_lt_total_net
2023-02,Curacao,26,slt2_us_lt_total_net
2023-02,Cyprus,54,slt1_for_lt_total_net
2023-02,Cyprus,33,slt2_us_lt_total_net
2023-02,Czech Republic,-204,slt1_for_lt_total_net
2023-02,Czech Republic,-50,slt2_us_lt_total_net
2023-02,Denmark,-172,slt1_for_lt_total_net
2023-02,Denmark,273,slt2_us_lt_total_net
2023-02,Ecuador,6,slt1_for_lt_total_net
2023-02,Ecuador,-39,slt2_us_lt_total_net
2023-02,Egypt,-1321,slt1_for_lt_total_net
2023-02,Egypt,44,slt2_us_lt_total_net
2023-02,Finland,478,slt1_for_lt_total_net
2023-02,Finland,-173,slt2_us_lt_total_net
2023-02,France,-14360,slt1_for_lt_total_net
2023-02,France,1332,slt2_us_lt_total_net
2023-02,Germany,3100,slt1_for_lt_total_net
2023-02,Germany,-2635,slt2_us_lt_total_net
2023-02,Grand Total,135320,slt1_for_lt_total_net
2023-02,Grand Total,5889,slt2_us_lt_total_net
2023-02,Greece,304,slt1_for_lt_total_net
2023-02,Greece,83,slt2_us_lt_total_net
2023-02,Guatemala,88,slt1_for_lt_total_net
2023-02,Guatemala,-12,slt2_us_lt_total_net
2023-02,Guernsey,56,slt1_for_lt_total_net
2023-02,Guernsey,21,slt2_us_lt_total_net
2023-02,Hong Kong,-5330,slt1_for_lt_total_net
2023-02,Hong Kong,-965,slt2_us_lt_total_net
2023-02,Hungary,-62,slt1_for_lt_total_net
2023-02,Hungary,-86,slt2_us_lt_total_net
2023-02,India,1854,slt1_for_lt_total_net
2023-02,India,-1156,slt2_us_lt_total_net
2023-02,Indonesia,-622,slt1_for_lt_total_net
2023-02,Indonesia,250,slt2_us_lt_total_net
2023-02,International,-433,slt1_for_lt_total_net
2023-02,International,4054,slt2_us_lt_total_net
2023-02,Ireland,2565,slt1_for_lt_total_net
2023-02,Ireland,131,slt2_us_lt_total_net
2023-02,Israel,-2990,slt1_for_lt_total_net
2023-02,Israel,329,slt2_us_lt_total_net
2023-02,Italy,-745,slt1_for_lt_total_net
2023-02,Italy,324,slt2_us_lt_total_net
2023-02,Jamaica,10,slt1_for_lt_total_net
2023-02,Jamaica,6,slt2_us_lt_total_net
2023-02,Japan,4234,slt1_for_lt_total_net
2023-02,Japan,-5855,slt2_us_lt_total_net
2023-02,Jersey,131,slt1_for_lt_total_net
2023-02,Jersey,975,slt2_us_lt_total_net
2023-02,Kazakhstan,257,slt1_for_lt_total_net
2023-02,Kazakhstan,-22,slt2_us_lt_total_net
2023-02,"Korea, South",10617,slt1_for_lt_total_net
2023-02,"Korea, South",-232,slt2_us_lt_total_net
2023-02,Kuwait,1768,slt1_for_lt_total_net
2023-02,Kuwait,-25,slt2_us_lt_total_net
2023-02,Lebanon,11,slt1_for_lt_total_net
2023-02,Lebanon,1,slt2_us_lt_total_net
2023-02,Liberia,4,slt1_for_lt_total_net
2023-02,Liberia,605,slt2_us_lt_total_net
2023-02,Luxembourg,16352,slt1_for_lt_total_net
2023-02,Luxembourg,650,slt2_us_lt_total_net
2023-02,Malaysia,6467,slt1_for_lt_total_net
2023-02,Malaysia,269,slt2_us_lt_total_net
2023-02,Mauritius,-39,slt1_for_lt_total_net
2023-02,Mauritius,-128,slt2_us_lt_total_net
2023-02,Memo: Euro Area,19574,slt1_for_lt_total_net
2023-02,Memo: Euro Area,4176,slt2_us_lt_total_net
2023-02,Memo: European Union,20108,slt1_for_lt_total_net
2023-02,Memo: European Union,3505,slt2_us_lt_total_net
2023-02,Mexico,5031,slt1_for_lt_total_net
2023-02,Mexico,634,slt2_us_lt_total_net
2023-02,Monaco,-16,slt1_for_lt_total_net
2023-02,Monaco,-1,slt2_us_lt_total_net
2023-02,Morocco,113,slt1_for_lt_total_net
2023-02,Morocco,-66,slt2_us_lt_total_net
2023-02,Netherlands,3623,slt1_for_lt_total_net
2023-02,Netherlands,2575,slt2_us_lt_total_net
2023-02,New Zealand,295,slt1_for_lt_total_net
2023-02,New Zealand,517,slt2_us_lt_total_net
