date,exchange,asset,balance,balance_usd,inflow_24h,outflow_24h,net_24h,block
2026-09-26,Binance,ETH,2704730.184325,7275656307.11,,,,26061801
2026-09-26,Binance,USDC,57096.09,57096.09,,,,26061801
2026-09-26,Binance,USDT,20818246741.12,20818246741.12,,,,26061801
2026-09-26,Bitfinex,ETH,272315.59977,732522128.26,,,,26061801
2026-09-26,Bitfinex,USDC,21697393.34,21697393.34,,,,26061801
2026-09-26,Bitfinex,USDT,5722938.22,5722938.22,,,,26061801
2026-09-26,Bybit,ETH,306283.283043,823894343.68,,,,26061801
2026-09-26,Bybit,USDC,301700521.28,301700521.28,,,,26061801
2026-09-26,Bybit,USDT,1213522168.76,1213522168.76,,,,26061801
2026-09-26,KuCoin,ETH,67833.514523,182470451.45,,,,26061801
2026-09-26,KuCoin,USDC,47391940.75,47391940.75,,,,26061801
2026-09-26,KuCoin,USDT,511100988.77,511100988.77,,,,26061801
2026-09-26,OKX,USDC,1372464795.77,1372464795.77,,,,26061801
